data,ciutat,categoria,import
2024-06-10,Barcelona,Joguines,154.75
2024-11-17,Barcelona,Joguines,466.22
2024-02-05,Madrid,Electrònica,81.95
2024-05-20,Madrid,Roba,318.95
2024-05-17,València,Joguines,NA
2024-11-14,Málaga,Electrònica,
2024-03-21,Alacant,Alimentació,278.08
2024-07-18,Barcelona,Electrònica,347.05
2024-03-18,Barcelona,Roba,78.31
2024-03-02,Madrid,Joguines,24.75
2024-06-07,Saragossa,Llibres,391.16
2024-07-20,Girona,Alimentació,488.22
2024-03-14,Barcelona,Llibres,392.28
2024-07-26,Bilbao,Llibres,137.07
2024-12-04,Madrid,Electrònica,115.1
2024-08-12,Madrid,Joguines,115.35
2024-11-07,València,Roba,483.61
2024-05-12,Bilbao,Llar,422.61
2024-06-01,Barcelona,Roba,481.45
2024-05-02,Barcelona,Llar,394.28
2024-07-20,Alacant,Electrònica,290.41
2024-05-02,Saragossa,Electrònica,404.22
2024-11-24,Alacant,Llibres,185.29
2024-02-22,Alacant,Esport,424.77
2024-12-10,València,Llibres,204.19
2024-05-18,Barcelona,Llar,192.68
2024-12-06,Bilbao,Roba,417.69
2024-05-10,Madrid,Joguines,329.08
2024-08-15,València,Alimentació,397.9
2024-12-06,Bilbao,Roba,318.31
2024-06-03,Málaga,Joguines,158.66
2024-04-05,Barcelona,Alimentació,307.58
2024-02-15,València,Llibres,360.58
2024-07-16,València,Alimentació,7.74
2024-02-25,València,Alimentació,349.48
2024-08-02,Sevilla,Joguines,71.0
2024-08-22,Sevilla,Esport,475.27
2024-08-20,Málaga,Esport,453.89
2024-08-06,Girona,Llar,377.13
2024-11-09,Girona,Esport,123.43
2024-08-03,Saragossa,Alimentació,163.26
2024-09-03,Barcelona,Alimentació,80.64
2024-04-03,València,Roba,210.81
2024-04-27,València,Joguines,349.28
2024-10-13,València,Roba,198.04
2024-07-18,Girona,Esport,449.42
2024-08-08,Madrid,Llar,
2024-06-22,Saragossa,Llar,421.05
2024-03-20,Sevilla,Llar,333.18
2024-02-21,València,Joguines,29.89
2024-07-11,Madrid,Roba,440.42
2024-05-25,Alacant,Llar,45.54
2024-01-24,Sevilla,Roba,38.97
2024-11-02,Girona,Alimentació,15.09
2024-03-08,Barcelona,Llibres,474.14
2024-08-23,Madrid,Roba,305.59
2024-12-23,Barcelona,Joguines,158.96
2024-10-01,Alacant,Esport,479.3
2024-07-23,Barcelona,Esport,315.48
2024-02-23,Girona,Joguines,403.74
2024-10-26,Barcelona,Esport,188.43
2024-09-21,Madrid,Joguines,247.65
2024-07-12,Bilbao,Joguines,80.73
2024-03-24,Sevilla,Llibres,405.06
2024-09-25,València,Llar,298.27
2024-06-28,Madrid,Electrònica,228.15
2024-08-19,Bilbao,Llar,249.68
2024-06-06,València,Roba,173.47
2024-10-23,Málaga,Esport,
2024-04-03,Madrid,Llar,380.29
2024-12-16,Bilbao,Llar,13.54
2024-05-08,València,Alimentació,292.87
2024-08-18,Sevilla,Llar,277.44
2024-06-23,València,Roba,64.72
2024-04-11,Barcelona,Esport,346.63
2024-04-07,Girona,Roba,488.42
2024-09-20,Madrid,Electrònica,151.64
2024-06-06,Madrid,Llibres,140.78
2024-01-18,Madrid,Alimentació,377.63
2024-02-28,Barcelona,Roba,223.03
2024-03-02,Madrid,Joguines,411.95
2024-07-16,Barcelona,Llibres,80.1
2024-10-10,Barcelona,Alimentació,383.4
2024-10-20,"Barcelona, ES",Alimentació,193.29
2024-08-10,Málaga,Llar,312.41
2024-10-24,Barcelona,Joguines,109.46
2024-11-03,Barcelona,Alimentació,82.48
2024-07-15,Saragossa,Llar,119.58
2024-12-10,Saragossa,Llar,120.54
2024-05-26,"Barcelona, ES",Esport,467.17
2024-07-04,Sevilla,Llibres,136.49
2024-03-03,Barcelona,Joguines,375.73
2024-10-10,València,Llar,351.37
2024-05-17,Sevilla,Llar,24.73
2024-07-24,Madrid,Roba,
2024-04-22,Málaga,Esport,15.27
2024-11-27,Madrid,Electrònica,91.72
2024-09-21,València,Roba,294.74
2024-11-27,València,Electrònica,207.13
2024-06-22,Barcelona,Alimentació,348.37
2024-05-22,Alacant,Joguines,23.17
2024-02-11,Madrid,Electrònica,205.07
2024-09-27,Alacant,Llibres,233.68
2024-01-07,Sevilla,Esport,314.58
2024-01-07,Madrid,Alimentació,221.87
2024-12-16,Barcelona,Llibres,123.45
2024-03-10,Sevilla,Esport,116.23
2024-02-15,Alacant,Llibres,251.7
2024-12-10,València,Roba,243.84
2024-08-08,València,Alimentació,461.32
2024-09-24,Málaga,Joguines,387.47
2024-07-11,Alacant,Esport,6.27
2024-12-10,Málaga,Esport,247.37
2024-03-15,Sevilla,Roba,382.62
2024-07-15,Alacant,Joguines,350.26
2024-10-13,Madrid,Joguines,162.5
2024-08-23,Málaga,Llar,333.53
2024-11-05,València,Electrònica,482.85
2024-06-28,Barcelona,Joguines,265.35
2024-08-01,Saragossa,Llar,485.13
2024-02-16,Girona,Roba,347.89
2024-11-03,Málaga,Joguines,269.14
2024-06-21,Saragossa,Joguines,272.8
2024-10-03,Madrid,Llibres,498.73
2024-12-03,València,Electrònica,353.43
2024-02-15,Barcelona,Roba,27.77
2024-01-10,Madrid,Llar,267.93
2024-10-22,"Barcelona, ES",Alimentació,306.7
2024-07-20,Saragossa,Llar,75.84
2024-08-21,Madrid,Roba,449.96
2024-08-10,Saragossa,Alimentació,472.89
2024-10-10,Bilbao,Llar,231.13
2024-05-07,Alacant,Joguines,122.42
2024-10-12,Sevilla,Llibres,489.08
2024-11-13,Madrid,Esport,390.26
2024-01-20,Girona,Joguines,146.67
2024-04-20,"Barcelona, ES",Alimentació,312.34
2024-11-25,Saragossa,Llibres,72.71
2024-02-21,Bilbao,Roba,21.52
2024-06-24,Barcelona,Roba,210.67
2024-04-05,"Barcelona, ES",Roba,457.18
2024-03-09,Málaga,Llar,151.1
2024-06-26,Barcelona,Electrònica,483.42
2024-11-24,Saragossa,Llar,403.27
2024-06-03,"Barcelona, ES",Electrònica,66.18
2024-06-22,Girona,Roba,412.1
2024-06-04,Saragossa,Llar,
2024-09-11,Málaga,Alimentació,319.52
2024-08-23,Madrid,Llar,27.45
2024-01-10,Alacant,Electrònica,444.19
2024-03-13,València,Llibres,349.76
2024-09-14,Sevilla,Llibres,210.37
2024-02-27,València,Llar,143.47
2024-12-12,Madrid,Llar,428.45
2024-02-22,Madrid,Llibres,202.08
2024-04-04,Alacant,Joguines,333.07
2024-11-21,Sevilla,Electrònica,NA
2024-06-08,Alacant,Joguines,38.96
2024-09-07,Sevilla,Joguines,167.64
2024-03-26,Málaga,Electrònica,492.09
2024-03-18,Madrid,Alimentació,433.89
2024-03-01,Madrid,Joguines,165.27
2024-03-09,Barcelona,Llibres,61.26
2024-02-16,València,Roba,58.98
2024-09-08,Alacant,Electrònica,454.83
2024-11-17,Madrid,Llibres,35.11
2024-08-28,València,Llibres,357.64
2024-08-03,Málaga,Roba,37.51
2024-05-20,Bilbao,Esport,193.55
2024-10-17,Madrid,Esport,54.09
2024-12-04,Málaga,Llibres,277.91
2024-04-14,València,Alimentació,414.57
2024-07-14,Saragossa,Roba,334.23
2024-06-05,Saragossa,Llar,416.73
2024-02-14,Barcelona,Llibres,69.41
2024-01-19,Alacant,Esport,65.5
2024-06-28,Bilbao,Joguines,458.34
2024-01-10,Bilbao,Roba,256.17
2024-03-22,València,Joguines,423.46
2024-06-04,Girona,Esport,217.41
2024-09-25,Málaga,Esport,280.59
2024-10-22,Málaga,Roba,
2024-05-23,Girona,Roba,94.8
2024-03-19,Bilbao,Electrònica,318.42
2024-01-03,Girona,Alimentació,229.55
2024-03-12,Madrid,Roba,285.96
2024-02-02,Barcelona,Joguines,338.61
2024-05-15,Bilbao,Llar,210.02
2024-04-25,València,Roba,145.21
2024-11-19,València,Llibres,114.16
2024-10-02,Barcelona,Roba,384.84
2024-05-10,Madrid,Electrònica,218.17
2024-03-13,Sevilla,Alimentació,417.51
2024-06-03,València,Llibres,NA
2024-01-15,Alacant,Joguines,217.5
2024-07-23,Bilbao,Roba,15.32
2024-06-06,"Barcelona, ES",Esport,346.36
2024-06-03,València,Electrònica,296.49
2024-09-03,València,Roba,114.68
2024-03-03,València,Electrònica,100.98
2024-06-12,Saragossa,Joguines,78.11
2024-02-05,Madrid,Alimentació,381.31
2024-11-03,Barcelona,Joguines,234.66
2024-10-25,Sevilla,Llibres,284.42
2024-11-20,Madrid,Llibres,222.68
2024-08-15,Bilbao,Joguines,32.81
2024-09-03,Madrid,Llar,NA
2024-06-27,Madrid,Llibres,428.37
2024-10-20,València,Llar,477.34
2024-12-02,València,Joguines,98.18
2024-10-16,València,Electrònica,406.43
2024-06-23,Barcelona,Llibres,127.63
2024-08-15,Sevilla,Esport,189.56
2024-05-13,València,Roba,30.92
2024-11-21,Madrid,Roba,340.8
2024-05-09,Saragossa,Llibres,303.34
2024-03-11,Barcelona,Llibres,178.16
2024-11-23,Bilbao,Alimentació,469.31
2024-05-18,Madrid,Joguines,68.26
2024-12-27,Alacant,Llibres,51.26
2024-11-14,València,Electrònica,94.23
2024-04-11,Alacant,Llar,499.99
2024-03-03,Madrid,Joguines,386.58
2024-12-17,Barcelona,Roba,310.93
2024-10-13,Barcelona,Alimentació,386.69
2024-03-24,València,Llar,361.19
2024-08-20,Madrid,Llibres,120.83
2024-04-10,Alacant,Joguines,418.38
2024-06-22,Alacant,Llar,144.48
2024-07-17,Sevilla,Alimentació,401.62
2024-03-28,Madrid,Llibres,188.75
2024-02-23,Málaga,Joguines,46.52
2024-03-09,València,Esport,221.55
2024-04-27,València,Roba,210.37
2024-07-17,Madrid,Llar,190.58
2024-01-11,Alacant,Joguines,170.97
2024-03-05,Barcelona,Joguines,416.4
2024-12-16,València,Electrònica,14.41
2024-04-27,Barcelona,Llibres,214.51
2024-05-08,Madrid,Electrònica,321.28
2024-10-15,Barcelona,Joguines,300.39
2024-01-21,València,Alimentació,149.18
2024-01-20,Madrid,Esport,333.86
2024-02-17,Alacant,Electrònica,274.32
2024-09-18,Barcelona,Joguines,319.66
2024-06-09,Girona,Roba,175.68
2024-12-22,Bilbao,Joguines,379.56
2024-03-02,Madrid,Roba,91.67
2024-11-15,Alacant,Llar,406.69
2024-02-23,Girona,Llar,NA
2024-04-02,"Barcelona, ES",Electrònica,158.49
2024-07-27,Sevilla,Roba,NA
2024-11-07,Madrid,Joguines,433.57
2024-06-09,Barcelona,Roba,203.01
2024-08-13,Madrid,Alimentació,251.27
2024-09-09,"Barcelona, ES",Llibres,218.15
2024-03-18,Madrid,Electrònica,332.16
2024-05-15,Bilbao,Llar,224.73
2024-08-02,Saragossa,Roba,220.3
2024-11-26,Alacant,Electrònica,206.07
2024-09-26,Girona,Alimentació,75.68
2024-10-22,Girona,Electrònica,121.82
2024-11-12,Madrid,Esport,NA
2024-03-22,València,Roba,382.73
2024-10-05,Sevilla,Llar,142.95
2024-02-01,Girona,Llar,457.2
2024-02-09,Girona,Llibres,498.2
2024-05-23,Málaga,Llar,72.19
2024-02-15,Barcelona,Llibres,48.46
2024-11-28,Alacant,Llibres,37.14
2024-09-10,Málaga,Joguines,356.23
2024-12-21,Barcelona,Roba,65.07
2024-04-26,Barcelona,Joguines,183.64
2024-10-12,València,Esport,442.7
2024-02-10,València,Llibres,265.22
2024-07-27,Sevilla,Alimentació,322.96
2024-08-15,Saragossa,Roba,415.38
2024-09-21,Sevilla,Joguines,219.15
2024-01-27,Barcelona,Alimentació,85.17
2024-12-08,Madrid,Esport,423.74
2024-05-07,Bilbao,Esport,314.39
2024-10-18,Barcelona,Llibres,471.1
2024-03-06,Bilbao,Llibres,172.12
2024-10-02,Málaga,Electrònica,474.53
2024-10-09,Bilbao,Joguines,310.96
2024-01-16,Málaga,Esport,478.54
2024-08-08,"Barcelona, ES",Llibres,229.5
2024-12-02,Barcelona,Llar,105.99
2024-10-05,Madrid,Llibres,494.07
2024-06-13,Barcelona,Roba,57.56
2024-04-15,Barcelona,Llar,52.92
2024-05-13,Málaga,Llar,433.33
2024-03-27,Madrid,Esport,98.97
2024-03-16,Alacant,Llar,157.73
2024-01-03,Alacant,Esport,124.16
2024-10-12,Barcelona,Roba,441.76
2024-11-22,València,Esport,
2024-02-14,Barcelona,Roba,383.11
2024-06-02,València,Esport,184.45
2024-05-03,Madrid,Llar,143.46
2024-10-22,Bilbao,Alimentació,199.98
2024-06-18,Alacant,Joguines,303.22
2024-07-17,Barcelona,Electrònica,169.86
2024-08-17,València,Esport,74.19
2024-10-11,Barcelona,Esport,153.12
2024-06-17,Málaga,Esport,283.65
2024-08-27,Barcelona,Roba,490.05
2024-10-10,"Barcelona, ES",Llibres,316.48
2024-10-16,Madrid,Llibres,389.2
2024-10-08,Saragossa,Esport,264.5
2024-12-20,Girona,Llar,341.96
2024-01-19,Alacant,Electrònica,223.31
2024-07-05,València,Alimentació,388.61
2024-08-28,Málaga,Llibres,73.35
2024-04-18,Madrid,Llibres,191.53
2024-03-15,Málaga,Roba,339.55
2024-12-22,Bilbao,Llibres,244.67
2024-04-09,Sevilla,Alimentació,491.22
2024-05-23,Madrid,Llibres,242.5
2024-09-26,Saragossa,Roba,339.93
2024-07-13,Málaga,Joguines,148.77
2024-05-23,Barcelona,Llar,374.93
2024-04-07,Málaga,Roba,349.6
2024-03-04,Bilbao,Esport,30.13
2024-09-08,Bilbao,Electrònica,168.5
2024-08-04,Saragossa,Alimentació,
2024-09-06,València,Llar,103.73
2024-05-11,Madrid,Electrònica,49.28
2024-10-08,Sevilla,Llibres,23.46
2024-03-14,Málaga,Alimentació,22.99
2024-07-26,València,Llibres,463.39
2024-01-01,Madrid,Esport,491.58
2024-05-15,Alacant,Esport,445.18
2024-03-28,València,Roba,60.76
2024-03-24,València,Roba,11.97
2024-06-26,Madrid,Llibres,91.87
2024-11-13,Málaga,Esport,203.41
2024-02-06,Alacant,Llar,127.78
2024-05-13,Madrid,Joguines,168.16
2024-10-24,Sevilla,Roba,347.92
2024-01-22,Barcelona,Roba,344.61
2024-12-25,Madrid,Electrònica,470.61
2024-06-20,Madrid,Alimentació,230.21
2024-10-12,València,Esport,379.89
2024-11-27,Madrid,Alimentació,299.93
2024-02-17,València,Llibres,459.04
2024-02-02,Málaga,Esport,270.65
2024-03-11,Málaga,Llar,106.67
2024-10-16,Barcelona,Esport,32.54
2024-03-17,València,Esport,NA
2024-08-22,"Barcelona, ES",Llibres,
2024-05-27,Barcelona,Alimentació,27.42
2024-06-23,Barcelona,Electrònica,39.16
2024-08-02,Madrid,Alimentació,384.08
2024-12-21,Alacant,Roba,194.33
2024-07-13,Barcelona,Llibres,70.83
2024-06-04,Barcelona,Esport,68.04
2024-04-27,Barcelona,Electrònica,234.19
2024-12-18,València,Llar,127.52
2024-06-05,Madrid,Llibres,20.95
2024-11-14,Bilbao,Electrònica,38.31
2024-10-02,València,Llibres,29.09
2024-12-02,València,Alimentació,378.42
2024-01-05,València,Roba,458.62
2024-10-11,Sevilla,Joguines,163.73
2024-05-05,Alacant,Esport,153.75
2024-01-18,Alacant,Llibres,314.87
2024-07-18,València,Roba,337.31
2024-09-11,Saragossa,Llar,191.35
2024-09-16,Madrid,Alimentació,355.25
2024-08-02,Sevilla,Llar,71.38
2024-04-09,Barcelona,Llibres,227.64
2024-06-03,Sevilla,Joguines,137.89
2024-11-20,Bilbao,Joguines,403.3
2024-10-24,Saragossa,Alimentació,435.39
2024-06-10,Alacant,Electrònica,99.06
2024-12-04,Girona,Joguines,125.08
2024-10-23,Barcelona,Alimentació,388.88
2024-07-15,Sevilla,Roba,183.02
2024-08-15,Barcelona,Llibres,420.67
2024-04-12,Madrid,Electrònica,114.53
2024-03-01,Madrid,Esport,211.7
2024-03-07,Madrid,Llar,126.64
2024-09-21,Alacant,Roba,411.69
2024-12-21,Girona,Llar,398.51
2024-03-05,Saragossa,Llar,445.24
2024-11-02,Sevilla,Joguines,472.87
2024-11-02,Girona,Llar,317.2
2024-02-23,Barcelona,Alimentació,189.73
2024-10-21,Bilbao,Esport,331.35
2024-01-01,Sevilla,Llar,
2024-09-24,Madrid,Roba,
2024-12-22,València,Alimentació,52.68
2024-03-08,Barcelona,Esport,180.45
2024-07-03,Madrid,Llar,125.39
2024-12-08,Madrid,Joguines,328.6
2024-11-25,Barcelona,Llar,278.59
2024-01-21,Barcelona,Alimentació,423.44
2024-11-26,Madrid,Joguines,447.92
2024-01-08,Madrid,Joguines,285.56
2024-05-02,Alacant,Llibres,450.16
2024-10-22,Barcelona,Joguines,480.93
2024-10-05,Girona,Llibres,464.79
2024-05-06,Sevilla,Esport,197.63
2024-09-11,Madrid,Llibres,494.3
2024-12-03,València,Roba,NA
2024-07-08,Málaga,Roba,308.86
2024-10-13,Alacant,Roba,
2024-05-26,Alacant,Llar,278.75
2024-07-14,Barcelona,Esport,47.42
2024-10-10,"Barcelona, ES",Llibres,137.65
2024-07-23,"Barcelona, ES",Alimentació,161.76
2024-02-03,Barcelona,Roba,381.87
2024-02-05,Barcelona,Llar,279.6
2024-07-04,Barcelona,Roba,300.48
2024-06-28,Madrid,Roba,390.69
2024-12-18,Málaga,Alimentació,88.94
2024-07-06,Barcelona,Roba,77.24
2024-03-14,Madrid,Roba,43.08
2024-05-08,Saragossa,Llar,101.8
2024-02-05,Madrid,Llar,312.0
2024-06-15,Madrid,Joguines,327.26
2024-10-05,Madrid,Esport,104.42
2024-06-06,Alacant,Roba,349.0
2024-08-19,Girona,Roba,409.16
2024-07-12,Barcelona,Esport,498.65
2024-03-22,Girona,Electrònica,233.5
2024-12-07,València,Roba,39.23
2024-07-22,València,Llibres,130.08
2024-03-23,València,Llar,495.4
2024-08-19,València,Esport,435.47
2024-07-18,Barcelona,Roba,407.09
2024-10-21,Málaga,Electrònica,330.51
2024-06-06,Bilbao,Electrònica,324.29
2024-11-13,Alacant,Roba,218.08
2024-01-04,Madrid,Esport,281.21
2024-12-19,Madrid,Roba,387.31
2024-10-23,València,Roba,243.97
2024-05-14,Alacant,Electrònica,470.63
2024-03-12,Madrid,Llar,262.95
2024-06-16,Barcelona,Llibres,162.86
2024-05-02,"Barcelona, ES",Electrònica,
2024-06-21,Barcelona,Joguines,492.03
2024-04-17,Barcelona,Alimentació,216.05
2024-08-08,"Barcelona, ES",Llibres,322.04
2024-07-13,Barcelona,Esport,227.54
2024-07-13,Barcelona,Alimentació,377.4
2024-02-19,Barcelona,Joguines,186.07
2024-04-15,Barcelona,Llibres,266.22
2024-11-11,Sevilla,Esport,61.54
2024-06-28,València,Alimentació,354.46
2024-05-20,Sevilla,Llibres,63.34
2024-05-04,Barcelona,Llibres,197.29
2024-10-05,Sevilla,Llar,319.57
2024-12-21,Alacant,Alimentació,247.37
2024-03-06,Madrid,Llar,433.43
2024-01-16,Barcelona,Joguines,282.98
2024-11-16,València,Llar,420.75
2024-08-06,Barcelona,Electrònica,114.16
2024-01-09,Madrid,Roba,231.37
2024-12-25,Girona,Esport,288.49
2024-05-25,Sevilla,Roba,379.61
2024-12-15,Sevilla,Llar,415.89
2024-04-10,Málaga,Electrònica,177.55
2024-02-15,Málaga,Electrònica,122.29
2024-12-19,Saragossa,Joguines,318.22
2024-03-20,Barcelona,Alimentació,403.69
2024-10-12,Sevilla,Esport,165.21
2024-12-10,Madrid,Roba,259.64
2024-11-27,Barcelona,Joguines,459.79
2024-05-28,Bilbao,Llibres,128.59
2024-12-11,Málaga,Joguines,199.39
2024-03-19,Bilbao,Llibres,228.74
2024-11-26,Málaga,Electrònica,376.15
2024-12-12,València,Llar,6.22
2024-12-03,Saragossa,Llar,350.16
2024-02-26,Sevilla,Alimentació,413.3
2024-08-09,Madrid,Roba,291.08
2024-10-28,València,Roba,382.32
2024-01-04,Bilbao,Joguines,66.5
2024-03-15,València,Llar,345.85
2024-03-21,Madrid,Joguines,140.64
2024-11-12,Madrid,Roba,326.21
2024-01-13,Bilbao,Llibres,120.9
2024-11-03,Saragossa,Electrònica,43.58
2024-10-08,Sevilla,Llar,
2024-12-11,Málaga,Joguines,70.43
2024-02-08,Madrid,Llibres,56.08
2024-06-10,Barcelona,Joguines,437.88
2024-11-22,Barcelona,Esport,307.11
2024-03-15,Madrid,Alimentació,79.93
2024-07-20,Saragossa,Joguines,448.81
2024-03-25,Barcelona,Llibres,481.81
2024-06-26,Barcelona,Roba,127.84
2024-10-20,Saragossa,Roba,346.79
2024-11-10,Barcelona,Esport,375.18
2024-05-21,Barcelona,Joguines,249.97
2024-02-08,València,Esport,444.92
2024-01-12,Alacant,Alimentació,420.29
2024-07-12,Sevilla,Alimentació,477.45
2024-02-01,Sevilla,Electrònica,24.71
2024-01-26,València,Roba,253.02
2024-07-14,Saragossa,Electrònica,271.14
2024-03-09,Barcelona,Electrònica,105.58
2024-03-18,Madrid,Esport,418.09
2024-11-21,Barcelona,Llibres,476.95
2024-04-02,Madrid,Llar,308.09
2024-01-10,Bilbao,Llibres,64.12
2024-12-05,Saragossa,Alimentació,176.62
2024-09-26,Málaga,Roba,67.83
2024-05-24,Málaga,Joguines,170.83
2024-07-09,Sevilla,Roba,290.44
2024-02-16,València,Roba,NA
2024-10-06,Madrid,Roba,447.66
2024-11-24,Barcelona,Llibres,26.8
2024-01-08,Barcelona,Roba,79.29
2024-01-18,"Barcelona, ES",Llibres,212.59
2024-06-08,València,Llibres,413.87
2024-10-12,Barcelona,Llibres,93.78
2024-09-02,Alacant,Electrònica,433.69
2024-05-11,Barcelona,Llar,
2024-04-10,Sevilla,Roba,125.08
2024-06-19,Alacant,Joguines,367.57
2024-09-25,"Barcelona, ES",Alimentació,
2024-07-01,Madrid,Roba,348.26
2024-01-11,Barcelona,Llibres,370.35
2024-05-04,Barcelona,Alimentació,480.79
2024-03-23,Madrid,Electrònica,449.16
2024-09-14,Saragossa,Roba,375.21
2024-10-04,València,Llibres,42.04
2024-10-02,València,Alimentació,134.19
2024-06-26,València,Joguines,162.44
2024-05-08,Barcelona,Alimentació,386.22
2024-02-05,Barcelona,Llar,206.22
2024-09-12,Alacant,Alimentació,234.36
2024-02-03,Barcelona,Llibres,353.83
2024-10-02,Madrid,Joguines,50.15
2024-04-12,València,Electrònica,133.78
2024-03-01,Alacant,Joguines,375.3
2024-04-04,València,Joguines,65.12
2024-01-27,Girona,Alimentació,412.72
2024-06-22,Bilbao,Llibres,295.13
2024-02-01,Alacant,Alimentació,224.5
2024-03-03,Málaga,Joguines,65.65
2024-08-02,Barcelona,Esport,363.59
2024-08-01,Madrid,Llar,111.28
2024-03-09,Madrid,Alimentació,NA
2024-10-20,Madrid,Roba,441.98
2024-08-02,Barcelona,Llar,103.73
2024-09-08,Bilbao,Joguines,14.67
2024-07-26,Saragossa,Llar,244.92
2024-10-17,Madrid,Roba,162.84
2024-04-01,Málaga,Joguines,405.28
2024-08-17,Madrid,Esport,487.12
2024-02-08,Bilbao,Roba,396.66
2024-12-02,Girona,Alimentació,491.42
2024-07-12,Alacant,Joguines,122.09
2024-06-26,Girona,Roba,18.96
2024-12-12,Alacant,Esport,474.44
2024-08-18,Madrid,Llar,NA
2024-01-08,Bilbao,Electrònica,5.34
2024-10-07,"Barcelona, ES",Roba,459.8
2024-06-02,Barcelona,Esport,75.12
2024-02-28,Sevilla,Roba,189.93
2024-11-13,Sevilla,Roba,72.54
2024-03-24,Alacant,Joguines,246.16
2024-06-06,Saragossa,Esport,464.78
2024-06-08,Bilbao,Joguines,156.88
2024-12-10,Barcelona,Llibres,
2024-12-19,Madrid,Joguines,21.03
2024-10-11,Alacant,Esport,284.95
2024-08-05,Madrid,Electrònica,491.28
2024-03-21,Málaga,Electrònica,336.66
2024-12-11,València,Roba,348.12
2024-06-09,"Barcelona, ES",Llibres,
2024-07-15,Girona,Alimentació,249.08
2024-07-12,Sevilla,Electrònica,395.42
2024-10-21,Girona,Alimentació,41.49
2024-01-10,Barcelona,Roba,41.73
2024-03-13,Barcelona,Electrònica,449.57
2024-02-11,Sevilla,Esport,353.73
2024-07-21,Barcelona,Llar,55.12
2024-04-07,València,Esport,366.34
2024-05-22,Madrid,Alimentació,199.49
2024-09-27,València,Electrònica,216.66
2024-05-27,Bilbao,Esport,53.01
2024-04-06,Bilbao,Electrònica,62.18
2024-07-16,València,Llibres,322.72
2024-07-06,Madrid,Llar,225.66
2024-05-15,València,Alimentació,284.3
2024-03-25,Saragossa,Electrònica,175.18
2024-09-14,Alacant,Esport,35.19
2024-07-27,Sevilla,Esport,468.5
2024-10-08,València,Electrònica,427.7
2024-01-17,Sevilla,Esport,340.38
2024-10-05,Barcelona,Joguines,474.79
2024-03-07,"Barcelona, ES",Alimentació,NA
2024-02-22,València,Joguines,417.88
2024-05-11,Málaga,Joguines,197.11
2024-07-18,Madrid,Roba,459.0
2024-01-26,Saragossa,Esport,212.7
2024-07-05,Barcelona,Esport,482.59
2024-02-04,Sevilla,Electrònica,434.4
2024-06-14,Madrid,Llibres,306.44
2024-01-06,Madrid,Alimentació,342.0
2024-07-02,València,Roba,29.4
2024-08-09,Málaga,Electrònica,397.86
2024-05-09,Málaga,Joguines,53.62
2024-04-05,Madrid,Llibres,413.78
2024-05-24,València,Llibres,223.65
2024-07-24,València,Esport,411.4
2024-09-26,Barcelona,Roba,204.68
2024-09-19,Barcelona,Alimentació,104.36
2024-01-08,Barcelona,Electrònica,353.79
2024-05-12,Málaga,Esport,461.92
2024-11-01,Madrid,Llar,92.9
2024-08-19,Sevilla,Roba,447.77
2024-12-27,Saragossa,Roba,
